BeerID;StyleID;Size(L);OG;FG;ABV;IBU;Color;BoilSize;BoilTime;BoilGravity;Efficiency;MashThickness;BrewMethod;PitchRate;PrimaryTemp;PrimingMethod;PrimingAmount;UserId
942;24;14;1.053;1.013;5.26;22.56;8.6;17;60;1.044;79;N/A;BIAB;N/A;17;N/A;N/A;
943;4;41.64;1.058;1.016;5.53;27.23;14.51;49.21;60;1.049;80;1.27;All Grain;N/A;19.44;N/A;N/A;
944;59;11.36;1.059;1.017;5.58;18.06;18.41;7.57;60;N/A;75;N/A;extract;N/A;N/A;corn sugar;.75lbs;
945;111;18.93;1.053;1.015;5.05;46.43;9.92;9.46;60;N/A;70;N/A;extract;N/A;N/A;N/A;N/A;651
946;75;18.93;1.06;1.02;5.23;27.87;6.78;26.5;60;1.043;75;N/A;All Grain;N/A;N/A;N/A;N/A;1513
947;163;20;1.066;1.016;6.5;23.15;18.9;24;90;1.055;70;N/A;All Grain;N/A;10;N/A;N/A;18325
948;13;43.53;1.091;1.023;8.9;86.05;18.9;52.05;90;1.076;75;1;All Grain;1.25;17.78;N/A;N/A;53966
949;147;7.57;1.095;1.024;9.44;86.69;15.89;11.36;60;1.064;63;N/A;Partial Mash;N/A;N/A;N/A;N/A;
950;45;2.27;1.035;1.009;3.45;0;3.41;2.27;60;1.035;35;N/A;extract;0.75;17.78;N/A;N/A;43574
951;7;39.75;1.062;1.017;5.89;132.7;10.05;43.53;60;N/A;70;N/A;All Grain;N/A;N/A;Corn Sugar;4oz per 5 Gallons;348
952;113;21;1.045;1.01;4.68;26.45;19.84;28;90;1.034;75;6.127;All Grain;N/A;20;N/A;N/A;5560
953;120;20.82;1.065;1.016;6.36;28.37;31.95;28.39;60;1.047;70;N/A;All Grain;0.75;N/A;N/A;N/A;955
954;94;50;1.048;1.01;4.98;26.23;2.93;60;90;1.04;73;N/A;All Grain;N/A;17;N/A;N/A;18325
955;31;20;1.05;1.01;5.22;36.59;5.39;23;60;1.043;75;N/A;Partial Mash;1.5;14;N/A;N/A;
956;107;20.82;1.078;1.017;7.97;67.16;9.11;28.39;60;1.057;70;1.5;All Grain;1.25;N/A;N/A;N/A;40209
957;7;39.75;1.084;1.015;9.08;142.26;6.6;53;90;N/A;72;N/A;All Grain;N/A;N/A;N/A;N/A;1345
958;25;122.08;1.049;1.01;5.03;31.13;3.22;128.7;90;1.046;75;N/A;All Grain;N/A;N/A;N/A;N/A;1164
959;86;22.71;1.09;1.021;9.04;247.9;7.28;30.28;90;1.068;70;N/A;BIAB;0.5;18.89;N/A;N/A;
960;81;20.82;1.083;1.021;8.08;36.67;4.28;28.39;60;N/A;75;N/A;All Grain;N/A;N/A;N/A;N/A;
961;26;20.82;1.084;1.019;8.52;38.76;5.21;11.36;60;N/A;70;N/A;extract;N/A;N/A;N/A;N/A;1279
962;10;15.14;1.049;1.012;4.96;35.22;6.5;17.98;60;N/A;82;N/A;All Grain;N/A;N/A;N/A;N/A;314
963;27;41.64;1.035;1.009;3.43;6.52;2.65;49.21;90;1.029;76;1.5;All Grain;0.5;19.44;Force Carb;30psi;15241
964;100;20.82;1.041;1.01;4.13;12.57;2.62;28.39;90;1.03;75;N/A;BIAB;0.75;10;N/A;N/A;5889
965;86;20.82;1.082;1.017;8.59;129.19;9.08;11.36;60;N/A;35;N/A;extract;N/A;N/A;dextrose;3 oz;
966;86;20.82;1.087;1.019;9.03;49.07;11.34;24.61;60;1.074;70;1;All Grain;0.5;N/A;N/A;N/A;18590
967;92;23;1.051;1.013;4.98;20.77;13.7;28.5;60;1.041;69;3.7;All Grain;N/A;N/A;N/A;N/A;
968;10;20.82;1.058;1.014;5.74;37.77;5.88;26.5;60;N/A;70;N/A;BIAB;N/A;N/A;N/A;N/A;
969;20;25;1.063;1.011;6.75;28.24;5.22;29;90;1.054;72;3;All Grain;1;18;Naturlig;7 g/l;32613
970;134;20.82;1.071;1.013;7.56;23.69;4.17;26.5;60;N/A;70;N/A;All Grain;N/A;N/A;s;N/A;1389
971;19;3.79;1.074;1.019;7.29;36.83;29.06;6.44;60;N/A;60;N/A;All Grain;N/A;N/A;Fizz Drops;1;8774
972;65;21;1.057;1.013;5.77;44.1;9.41;26.5;60;1.045;80;3;All Grain;1;18;N/A;N/A;401
973;58;18.93;1.052;1.013;5.08;36.21;40;9.46;60;1.059;35;N/A;extract;N/A;18.33;N/A;N/A;23595
974;129;18.93;1.101;1.031;9.14;136.33;31.29;22.71;60;N/A;70;N/A;extract;N/A;N/A;Corn Sugar;4 oz;
975;150;9.46;1.083;1.017;8.65;120.59;24.39;13.25;60;1.058;60;N/A;BIAB;N/A;18.33;N/A;N/A;50364
976;120;18.93;1.064;1.02;6.05;61.97;36.35;13.25;60;N/A;70;N/A;Partial Mash;N/A;N/A;Dextrose;4.5oz;
977;134;20.82;1.058;1.017;5.29;37.89;6.33;28.39;60;1.037;65;1.25;All Grain;0.35;N/A;N/A;N/A;345
978;175;19.87;1.057;1.014;5.66;7.89;4;22.71;30;N/A;75;N/A;All Grain;N/A;N/A;N/A;N/A;993
979;156;25;1.044;1.007;4.81;10.89;2.18;29;90;1.038;73;N/A;All Grain;N/A;11;N/A;N/A;18325
980;7;11.36;1.068;1.012;7.39;73.72;14.85;15.14;60;1.051;67;N/A;BIAB;N/A;21.11;N/A;N/A;66346
981;72;18.93;1.075;1.019;7.42;40.35;50;30.28;60;1.047;60;1.5;All Grain;0.5;18.33;N/A;N/A;63277
982;19;20.82;1.067;1.017;6.64;40.92;26.8;30.28;75;1.046;80;0.75;All Grain;0.5;18.89;N/A;N/A;2068
983;7;18.93;1.072;1.017;7.26;74.79;15.87;11.36;60;N/A;70;N/A;extract;N/A;N/A;corn sugar;N/A;582
984;112;18.93;1.053;1.012;5.34;48.74;17.79;9.46;60;N/A;70;N/A;extract;N/A;N/A;N/A;N/A;
985;30;20.82;1.045;1.011;4.48;19.68;4.15;28.39;60;1.033;75;1.5;All Grain;2;17.78;N/A;N/A;
986;7;37.85;1.064;1.018;6.07;48.84;10.19;43.53;60;N/A;75;N/A;All Grain;N/A;N/A;Kegged;N/A;
987;92;21;1.052;1.012;5.27;30.16;13.96;28.5;75;1.038;60;2.75;All Grain;0.75;17;N/A;N/A;
988;114;25;1.059;1.018;5.42;39.31;34.52;31;60;1.048;65;N/A;All Grain;N/A;20;N/A;N/A;
989;23;45.42;1.074;1.011;8.2;32.45;3.41;53;90;1.063;85;N/A;All Grain;1.25;22.22;N/A;N/A;2111
990;7;30.28;1.07;1.018;6.82;51.27;8.96;36.91;60;1.057;70;1.5;All Grain;0.75;20;N/A;N/A;
991;150;21;1.058;1.013;5.89;53.09;17.58;25;60;1.049;70;N/A;BIAB;0.75;18;N/A;N/A;54364
992;155;20.82;1.06;1.015;5.87;31.5;13.85;9.46;60;1.131;70;N/A;extract;1.5;11.39;Corn Sugar;3/4 Cup;
993;7;22.71;1.077;1.017;7.81;164.83;11.44;30.28;90;1.057;70;1.25;All Grain;0.75;20;N/A;N/A;
994;134;20.82;1.07;1.015;7.16;37.07;4.28;22.71;50;N/A;70;N/A;Partial Mash;N/A;N/A;N/A;N/A;
995;86;20.82;1.082;1.019;8.23;69.91;11.21;24.61;60;N/A;70;N/A;All Grain;0.75;20;Priming Sugar;5 Oz;
996;116;22.71;1.065;1.019;5.93;37.76;21.42;11.36;60;1.129;35;N/A;extract;0.35;21.11;N/A;N/A;19124
997;112;20.82;1.056;1.014;5.52;34.55;7.98;28.39;90;N/A;70;N/A;All Grain;N/A;19.44;N/A;N/A;2938
998;175;18.93;1.056;1.014;5.54;17;4.53;15.14;60;1.07;35;N/A;extract;N/A;N/A;N/A;N/A;
999;45;10.41;1.045;1.013;4.28;16.37;2.25;14.2;60;1.033;94;N/A;BIAB;N/A;N/A;N/A;N/A;314
1000;94;20.82;1.05;1.013;4.97;29.67;3.74;11.36;60;1.093;70;N/A;Partial Mash;0.35;20;Corn Sugar;N/A;20681
1001;7;15.14;1.062;1.017;5.83;49.3;8.98;20.82;60;1.045;65;N/A;extract;0.35;20;N/A;N/A;21800
1002;86;12.11;1.081;1.018;8.19;105.22;4.83;17.03;60;1.052;70;1.5;All Grain;1.25;18.89;N/A;N/A;
1003;111;23;1.048;1.014;4.56;31.09;5.56;28.5;90;N/A;70;N/A;BIAB;N/A;20;N/A;N/A;14727
1004;25;20.82;1.061;1.016;5.93;27.49;3.1;9.46;60;1.134;35;N/A;extract;N/A;25;N/A;N/A;
1005;81;22.71;1.048;1.011;4.81;33.08;3.08;28.39;90;1.038;70;N/A;All Grain;1.5;10;N/A;N/A;
1006;81;45.42;1.054;1.014;5.23;40.23;3.23;53;90;1.047;75;N/A;All Grain;N/A;10;N/A;N/A;
1007;10;4.5;1.049;1.01;5.06;34.95;5.54;6.6;60;1.033;66;N/A;BIAB;0.35;15;N/A;N/A;
1008;45;22.71;1.051;1.013;4.96;18.56;3.07;28.39;60;1.04;75;1.6;All Grain;0.75;18.33;Dextrose;Based on Final Vol.;
1009;129;9.46;1.06;1.02;5.34;29.84;40;17.03;120;1.033;60;N/A;BIAB;0.35;20;Batch Prime w/ Brown Sugar;3 oz;
1010;92;22.71;1.06;1.016;5.76;36.91;16.86;11.36;60;1.12;40;N/A;extract;0.35;22.22;Bottle condition;.75 cup Corn Sugar;19124
1011;86;20.82;1.084;1.014;9.14;134.55;12.44;28.39;90;1.061;70;1.33;All Grain;N/A;N/A;N/A;N/A;
1012;12;18.93;1.092;1.026;8.67;84.78;40;22.71;60;N/A;70;N/A;All Grain;N/A;N/A;N/A;N/A;737
1013;65;22.71;1.063;1.017;5.96;55.26;10.63;28.39;90;1.05;75;1.5;All Grain;N/A;N/A;N/A;N/A;482
1014;129;13.25;1.059;1.014;5.91;35.24;27.8;16.09;60;1.048;65;N/A;BIAB;0.75;20;N/A;N/A;
1015;86;21.77;1.078;1.016;8.21;92.18;8.43;26.5;60;N/A;80;N/A;All Grain;N/A;N/A;N/A;N/A;1569
1016;132;39.75;1.08;1.017;8.31;67.07;35.91;45.42;90;1.063;70;1.75;All Grain;0.5;18.33;N/A;N/A;
1017;21;37.85;1.094;1.023;9.24;41.97;21.64;49.21;90;1.072;70;1.5;All Grain;1.25;20.56;N/A;N/A;20127
1018;6;4;1.053;1.016;4.87;36.19;28.26;4.5;30;N/A;25;N/A;extract;N/A;N/A;N/A;N/A;5390
1019;68;10;1.061;1.015;6.04;49.12;9;14;70;N/A;75;N/A;All Grain;N/A;21;N/A;N/A;7397
1020;15;12.3;1.054;1.013;5.3;32.97;4.1;15.14;90;N/A;75;N/A;All Grain;N/A;N/A;N/A;N/A;
1021;115;20.82;1.057;1.014;5.74;31.48;13.04;24.61;90;1.048;70;1.33;All Grain;1.75;12.22;N/A;N/A;
1022;162;20.82;1.05;1.014;4.74;18.05;33.63;26.5;60;1.039;75;N/A;All Grain;N/A;N/A;N/A;N/A;805
1023;162;18.93;1.065;1.019;6.09;79.16;40;26.5;60;1.047;70;1.3;All Grain;0.35;17.78;N/A;N/A;
1024;35;20.82;1.05;1.012;4.98;22.29;4.28;28.69;60;1.036;75;1.25;All Grain;0.35;22.22;N/A;N/A;
1025;15;20.82;1.05;1.013;4.94;16.26;3.59;28.39;60;1.037;76;1.25;All Grain;N/A;20;N/A;N/A;
1026;115;50;1.054;1.014;5.3;24.5;8.84;60;90;1.045;71;3;All Grain;N/A;10;N/A;N/A;18325
1027;6;20.82;1.056;1.011;5.99;22.09;25.14;28.39;60;1.041;35;N/A;extract;0.75;20;N/A;N/A;5889
1028;176;28.39;1.1;1.022;10.25;91.34;36.71;28.39;60;N/A;77;N/A;All Grain;N/A;N/A;Corn Sugar;N/A;1569
1029;21;46;1.099;1.022;10.11;23.4;22.03;59.5;60;1.077;75;2.9;All Grain;1.25;N/A;N/A;N/A;23293
1030;43;20;1.06;1.014;5.94;33.32;18.35;23.5;60;1.051;71;N/A;All Grain;N/A;18;Sukkerlake;5 g sukker/l;18325
1031;160;20.82;1.098;1.029;9.17;16.8;25.18;32.18;60;N/A;75;N/A;All Grain;N/A;N/A;N/A;N/A;
1032;29;48;1.063;1.011;6.71;27;8.33;60;90;1.05;75;1.5;All Grain;1;18;N/A;N/A;40623
1033;25;15;1.11;1.031;10.41;19.71;23.7;20;90;1.083;70;N/A;All Grain;0.35;20;Cane sugar;4;14673
1034;144;20;1.046;1.013;4.29;46.46;7.04;28;60;1.033;65;N/A;BIAB;0.75;20;Table Sugar;N/A;
1035;20;20.82;1.065;1.012;6.94;26.86;5.93;30.28;90;1.045;60;1.5;All Grain;0.75;20;N/A;N/A;
1036;129;56.78;1.055;1.016;5.07;41.95;40;56.78;60;N/A;70;N/A;Partial Mash;N/A;N/A;N/A;N/A;390
1037;162;19.87;1.056;1.011;5.95;30.77;44.33;26.5;90;1.04;75;N/A;BIAB;N/A;18.33;N/A;N/A;34855
1038;81;37.85;1.057;1.015;5.46;73.28;3.31;45.42;90;N/A;75;N/A;All Grain;N/A;N/A;N/A;N/A;
1039;85;20.82;1.068;1.018;6.56;27.38;20.15;11.36;60;1.126;5;N/A;extract;N/A;N/A;N/A;N/A;
1040;86;7.57;1.083;1.023;7.81;137.97;8.17;12.3;60;1.051;60;N/A;All Grain;1;20;N/A;N/A;21800
1041;86;18.93;1.077;1.018;7.77;72.58;9.65;23.66;60;1.028;75;N/A;extract;N/A;18.33;cane sugar;5 oz.;
1042;86;56.78;1.073;1.007;8.6;241.38;8.81;64.35;90;N/A;70;N/A;All Grain;N/A;N/A;N/A;N/A;380
1043;94;37.85;1.052;1.013;5.1;32.01;3.81;45.42;90;1.043;76;1.5;All Grain;0.75;18.33;N/A;N/A;
1044;113;48.1;1.049;1.014;4.66;29.74;17.98;51.9;60;N/A;75;N/A;All Grain;N/A;N/A;N/A;N/A;
1045;30;20.82;1.048;1.011;4.89;17.85;3.14;11.36;60;N/A;35;N/A;extract;0.35;N/A;N/A;N/A;
1046;4;21;1.038;1.007;4.11;32.95;7.01;28.5;60;1.028;65;N/A;BIAB;N/A;22;N/A;N/A;
1047;170;17.03;1.051;1.012;5.07;21.3;4.72;22.71;60;1.038;70;N/A;BIAB;N/A;N/A;N/A;N/A;34404
1048;20;41.64;1.084;1.016;9.01;41.38;7.38;60.57;90;N/A;70;N/A;All Grain;N/A;N/A;N/A;N/A;380
1049;7;41.64;1.079;1.015;8.36;60.12;7.41;51.1;60;1.064;75;N/A;All Grain;1;18.33;N/A;N/A;5889
1050;4;9.46;1.07;1.02;6.65;38.27;21;12.87;60;N/A;75;N/A;All Grain;N/A;N/A;N/A;N/A;2962
1051;68;21;1.062;1.015;6.08;28.73;8.31;12;60;1.108;70;N/A;BIAB;N/A;N/A;N/A;N/A;
1052;132;20.82;1.107;1.027;10.58;99.25;40;24.61;75;1.091;65;N/A;BIAB;1;N/A;N/A;N/A;
1053;103;20.82;1.064;1.016;6.31;34.54;7.95;24.61;90;N/A;70;N/A;All Grain;N/A;N/A;N/A;N/A;955
1054;15;17.98;1.051;1.012;5.17;34.46;4.63;20.82;60;1.044;78;N/A;All Grain;N/A;N/A;N/A;N/A;314
1055;86;37.85;23.174;3.72339;11.86;240.29;6.46;48.07;120;N/A;80;N/A;All Grain;2;18.89;N/A;N/A;
1056;5;38;1.1;1.017;10.9;106.7;13.8;50;90;1.076;75;2.5;All Grain;N/A;19;N/A;N/A;40623
1057;10;18.93;1.056;1.014;5.52;0;17.16;26.5;90;N/A;70;N/A;All Grain;N/A;N/A;N/A;N/A;
1058;163;40;1.06;1.01;6.58;22.54;19.94;48;60;1.05;75;3;All Grain;N/A;13;N/A;N/A;45658
1059;7;20;1.066;1.013;7;62.81;6.6;23;60;1.057;70;N/A;All Grain;N/A;18;Sukkerlake;6 g sukker/l;18325
1060;170;18;13.098;3.78593;5.01;13.37;4.62;26;90;9.2;82.3;N/A;BIAB;0.5;18;N/A;N/A;
1061;94;22;1.05;1.013;4.95;72.17;5.02;29;60;N/A;70;N/A;BIAB;N/A;N/A;N/A;N/A;1046
1062;40;20;1.064;1.013;6.73;39.46;3.58;29.5;80;1.043;70;N/A;BIAB;1.75;10;N/A;N/A;
1063;7;18.93;1.05;1.009;5.37;0;11.04;22.71;60;N/A;65;N/A;All Grain;N/A;N/A;N/A;N/A;
1064;19;20.82;1.076;1.02;7.43;60.11;30;13.25;60;1.12;70;N/A;Partial Mash;0.35;20;Corn Sugar;N/A;20681
1065;72;20.82;1.083;1.016;8.69;116.97;39.07;28.39;60;1.061;70;N/A;BIAB;N/A;15.56;N/A;N/A;5889
1066;6;20.82;1.06;1.016;5.85;38.55;31.74;28.39;60;N/A;70;N/A;All Grain;N/A;N/A;N/A;N/A;
1067;7;11.36;1.075;1.017;7.59;70.71;8.1;12.3;60;1.069;25;N/A;extract;1.25;20;N/A;N/A;22270
1068;109;18.93;1.051;1.013;5.05;32.11;12.47;18.93;60;N/A;66;N/A;BIAB;N/A;N/A;N/A;N/A;
1069;86;37.85;1.082;1.019;8.33;393.54;7.72;45.42;60;1.068;70;N/A;All Grain;N/A;N/A;N/A;N/A;5100
1070;7;21;1.061;1.013;6.27;60.16;5.92;25;60;1.051;70;N/A;BIAB;0.75;18;N/A;N/A;54364
1071;65;37.85;1.068;1.017;6.74;73.01;12.08;43.53;60;N/A;75;N/A;All Grain;N/A;N/A;N/A;N/A;
1072;155;18.93;1.055;1.018;4.87;0;14.96;26.5;60;N/A;70;N/A;BIAB;N/A;N/A;Corn Sugar;5 oz;
1073;59;25;1.053;1.012;5.37;13.97;16.94;29;90;1.045;72;N/A;All Grain;N/A;18;N/A;N/A;18325
1074;22;13.25;1.07;1.016;7.17;23.15;18.15;20.82;60;1.036;75;1.25;All Grain;1;17.78;Corn Sugar;3.8 oz;
1075;109;41.64;1.051;1.014;4.93;19.56;4.43;51.1;90;N/A;73;N/A;All Grain;1.5;N/A;N/A;N/A;
1076;159;37.85;1.051;1.015;4.71;25.16;11.85;49.21;75;1.039;75;1.5;All Grain;N/A;N/A;N/A;N/A;20127
1077;129;12.5;1.054;1.014;5.24;39.85;29.22;13.5;60;1.05;75;2.75;All Grain;0.75;18;N/A;N/A;
1078;75;18.93;1.058;1.015;5.62;27.76;3.58;7.57;60;N/A;70;N/A;extract;N/A;N/A;N/A;N/A;
1079;170;21;12.2916;3.54543;4.69;10.5;3.27;28.5;75;N/A;80;N/A;All Grain;0.35;19;N/A;N/A;12772
1080;175;9.46;1.047;1.012;4.57;22.16;4.48;16.09;60;1.027;75;1.25;All Grain;N/A;18.33;N/A;N/A;20648
1081;19;41.64;1.092;1.022;9.16;102.79;36.3;47.32;90;N/A;75;N/A;All Grain;N/A;N/A;N/A;N/A;1279
1082;21;37.85;1.101;1.023;10.2;30.61;33.99;45.42;90;1.084;75;1.25;All Grain;1;N/A;force carbonate in kegs;N/A;
1083;76;11.36;1.084;1.006;10.22;0;4;11.36;0;N/A;75;N/A;All Grain;N/A;N/A;N/A;N/A;
1084;10;24.61;1.06;1.011;6.49;56.49;14.66;37.85;60;1.039;70;1.75;All Grain;0.75;18.33;N/A;N/A;8348
1085;4;34;1.071;1.017;7.03;108.3;16.62;41;90;1.059;70;3;All Grain;N/A;N/A;N/A;N/A;
1086;7;18.93;1.05;1.01;5.36;57.7;3.02;11.36;60;1.084;35;N/A;extract;N/A;N/A;N/A;N/A;29356
1087;25;23;1.069;1.013;7.39;39.98;4.03;27.5;90;N/A;70;N/A;All Grain;0.75;23;N/A;N/A;
1088;75;21;1.071;1.021;6.6;17.01;50;30.3;120;1.049;75;2.5;All Grain;1;21;Brown sugar;108g;26767
1089;175;20.82;1.047;1.013;4.41;14.66;4.47;13.25;60;1.073;35;N/A;extract;N/A;18.33;N/A;N/A;
1090;23;20.82;1.088;1.021;8.74;27.81;11.47;26.5;90;1.069;70;N/A;All Grain;N/A;N/A;N/A;N/A;1186
1091;5;14;1.099;1.017;10.73;28.01;19.15;19.3;90;1.063;70;N/A;All Grain;1;19;N/A;N/A;
1092;26;22.7;1.075;1.018;7.45;39.31;5;30;90;1.065;70;2.9;All Grain;1.25;17;N/A;N/A;
1093;11;20.82;1.051;1.012;5.11;31.79;23.74;28.39;60;1.037;70;1.5;All Grain;0.5;20;Dextrose;100 g;26090
1094;30;22.71;1.047;1.012;4.62;24.58;5.03;26.5;60;N/A;76;N/A;BIAB;0.35;17.78;N/A;N/A;
1095;7;41.64;1.065;1.018;6.12;60.95;19.56;53;90;1.051;70;1.5;All Grain;0.5;19.44;N/A;N/A;15241
1096;81;21;1.054;1.009;5.92;12.83;3.13;25;80;1.046;80;4.5;All Grain;N/A;12;N/A;N/A;39994
1097;155;23;1.045;1.013;4.14;18.41;5.61;27;60;1.038;55;5;All Grain;0.35;22;N/A;N/A;
1098;7;18.93;1.077;1.019;7.61;83.71;8.02;11.36;60;1.129;25;N/A;extract;N/A;17.78;N/A;N/A;
1099;116;870.64;1.088;1.023;8.59;68.56;35.08;878.22;60;1.088;70;N/A;All Grain;N/A;N/A;N/A;N/A;
1100;72;60;1.053;1.015;5.01;31.69;27.9;75;60;N/A;60;N/A;All Grain;N/A;N/A;N/A;N/A;3259
1101;134;3.79;1.055;1.012;5.65;26.51;9.94;4.54;60;N/A;70;N/A;All Grain;0.35;25.56;N/A;N/A;2824
1102;55;20.82;1.051;1.011;5.18;8.33;5.32;11.36;60;N/A;70;N/A;Partial Mash;N/A;N/A;N/A;N/A;316
1103;148;20.82;1.09;1.017;9.6;77.1;38.84;28.39;60;1.066;77;N/A;All Grain;N/A;N/A;N/A;N/A;805
1104;145;25;1.078;1.023;7.69;52.13;40;28;90;1.069;70;2.5;All Grain;N/A;20;N/A;N/A;
1105;32;20.82;1.127;1.032;12.52;0;6.08;11.36;60;N/A;70;N/A;extract;N/A;N/A;N/A;N/A;
1106;132;17.03;1.142;1.041;13.25;110.37;40;18.93;60;N/A;70;N/A;extract;N/A;N/A;Cane Sugar;0.25 cup;
1107;160;24.61;1.102;1.027;9.73;35.46;26;33.12;120;1.075;75;N/A;All Grain;2;10;N/A;N/A;
1108;111;18.93;1.071;1.018;6.93;0;18.67;18.93;60;N/A;75;1.25;All Grain;N/A;N/A;N/A;N/A;
1109;7;37.85;1.045;1.01;4.59;42.44;7.87;45.42;60;1.037;62;1.5;All Grain;N/A;19.44;N/A;N/A;
1110;7;20.82;1.069;1.017;6.82;85.64;5.75;24.61;60;1.058;68;N/A;BIAB;1;18.89;N/A;N/A;
1111;129;41.64;1.06;1.015;5.93;39.8;31.5;45.42;60;1.055;80;1.2;All Grain;N/A;20.56;N/A;N/A;
1112;7;21;1.059;1.012;6.08;54.52;6.5;25;60;1.049;75;N/A;BIAB;0.75;18;N/A;N/A;54364
1113;7;47.32;1.074;1.015;7.74;76.1;7.16;57.73;60;1.061;73;1.5;All Grain;N/A;N/A;N/A;N/A;4411
1114;22;21;1.063;1.014;6.44;17.65;20.75;23;60;1.053;65;2;All Grain;0.35;20;N/A;N/A;
1115;10;18.93;1.058;1.014;5.83;34.07;5.94;22.71;60;1.049;45;N/A;extract;0.35;20;N/A;N/A;33441
1116;144;10;1.058;1.013;5.91;60.89;15.83;6;60;1.096;75;N/A;extract;N/A;18;Glucose;2.5oz;
1117;162;20.82;1.058;1.02;5.01;23.08;38.01;28.39;60;1.037;75;N/A;BIAB;0.35;21.11;Dextrose;N/A;
1118;145;20.82;1.073;1.018;7.15;0;23.61;28.39;60;1.048;75;1.33;All Grain;N/A;21.11;Corn Sugar;5.25oz / 3/4 Cup;
1119;7;19.68;1.057;1.013;5.68;72.94;3.91;27.25;60;1.041;75;N/A;All Grain;0.35;20;N/A;N/A;345
1120;7;41.64;1.063;1.019;5.82;66.87;5.65;49.21;60;1.053;95;1.5;All Grain;1;21.11;N/A;N/A;
1121;129;18;1.057;1.012;5.93;36.58;34.87;32.1;90;1.032;60;2.087;All Grain;0.5;26;Brown sugar;0.8 oz;46149
1122;59;45.42;1.053;1.014;5.1;12.98;15.29;53;60;N/A;75;N/A;All Grain;N/A;N/A;N/A;N/A;14477
1123;30;25;1.043;1.009;4.47;19.52;3.28;28;90;1.038;70;N/A;BIAB;0.5;19;N/A;N/A;51696
1124;132;11.36;1.099;1.015;11.01;70.07;40;15.14;60;N/A;70;N/A;extract;N/A;N/A;N/A;N/A;
1125;52;20.82;1.055;1.014;5.27;0;29.3;26.5;60;N/A;75;N/A;All Grain;N/A;N/A;N/A;N/A;
1126;134;20.82;1.074;1.022;6.76;49.39;6.9;13.25;60;N/A;70;N/A;Partial Mash;N/A;N/A;Corn Sugar;6.52 Oz;482
1127;21;37.85;1.097;1.019;10.32;23.08;29.86;49.21;90;1.075;75;1.5;All Grain;1;N/A;N/A;N/A;20127
1128;7;41.64;1.076;1.018;7.59;108.43;15.95;47.32;60;1.067;80;1.52;All Grain;1;18.33;N/A;N/A;
1129;68;21;1.052;1.012;5.33;34.5;10.11;26;70;1.042;65;3;All Grain;0.75;17;gyle;1;
1130;7;22;1.063;1.015;6.33;131.09;7.2;28.4;60;1.049;75;N/A;All Grain;N/A;18;N/A;N/A;48693
1131;10;18.93;1.037;1.01;3.52;46.66;3.02;25.21;60;1.028;65;N/A;BIAB;0.35;21.11;N/A;N/A;21884
1132;21;20.82;1.087;1.021;8.72;31.49;17.22;28.39;75;1.064;60;1.34;All Grain;N/A;N/A;N/A;N/A;
1133;7;20.82;1.074;1.017;7.43;147.61;7.39;13.25;60;1.116;70;N/A;Partial Mash;0.5;21.11;Corn Sugar;N/A;20681
1134;45;18.93;1.055;1.013;5.51;22.31;6.53;9.46;55;N/A;35;N/A;extract;N/A;N/A;N/A;N/A;
1135;7;22.71;1.069;1.017;6.84;182;5.34;30.28;90;1.052;80;1.75;All Grain;1;16.67;N/A;N/A;5889
1136;58;21.77;1.045;1.013;4.23;54.27;40;28.39;60;N/A;13;N/A;All Grain;N/A;N/A;Corn Sugar;N/A;1569
1137;163;62.46;1.06;1.019;5.31;20.3;16.01;77.6;90;1.048;68;1.33;All Grain;1.5;15.56;corn sugar;N/A;22093
1138;7;20.82;1.061;1.015;6.14;53.55;9.16;26.5;60;1.048;66;1.3;All Grain;0.75;17.78;Forced Carbonation;N/A;50283
1139;4;21;1.059;1.015;5.77;0;22.92;11;60;N/A;75;N/A;Partial Mash;N/A;N/A;N/A;N/A;
1140;45;7.57;1.053;1.012;5.35;26.97;4.62;12.11;60;N/A;70;N/A;All Grain;N/A;21.11;Maple Syrup;6 TBsp;9599
1141;4;18.93;1.049;1.012;4.84;15.25;11.41;24.61;60;N/A;70;N/A;All Grain;N/A;N/A;N/A;N/A;8363
1142;103;18.93;1.064;1.015;6.46;45.26;10.75;24.61;60;1.05;70;N/A;All Grain;N/A;N/A;N/A;N/A;6789
1143;85;20.82;1.05;1.014;4.77;27.99;26.08;26.5;60;N/A;70;N/A;All Grain;N/A;N/A;N/A;N/A;2782
1144;58;41.64;1.045;1.012;4.27;43.48;36.59;60.57;90;N/A;70;N/A;All Grain;N/A;N/A;N/A;N/A;380
1145;157;18.93;1.035;1.011;3.15;36.01;10.64;18.93;60;N/A;60;N/A;BIAB;N/A;N/A;Dextrose Bottle Priming;N/A;
1146;25;20.82;1.046;1.01;4.73;37.85;7.55;24.61;60;1.039;70;1.5;All Grain;0.5;21.11;Sugar;110 g;26090
1147;10;20.82;1.056;1.017;5.14;29.88;3.95;22.71;60;1.051;66;1.4;All Grain;0.75;20;Sucrose;N/A;
1148;65;25;1.064;1.014;6.64;53.04;11.68;28;60;1.057;75;N/A;BIAB;N/A;18;Sukkerlake;6g / liter;18325
1149;103;43.53;1.076;1.021;7.33;42.45;6.03;53;90;N/A;80;N/A;All Grain;N/A;N/A;N/A;N/A;
