BeerID;StyleID;Size(L);OG;FG;ABV;IBU;Color;BoilSize;BoilTime;BoilGravity;Efficiency;MashThickness;BrewMethod;PitchRate;PrimaryTemp;PrimingMethod;PrimingAmount;UserId
8490;7;18.93;1.088;1.021;8.74;96.41;7.01;26.5;60;1.063;70;1.25;All Grain;0.35;20.56;N/A;N/A;52702
8491;37;22.71;1.048;1.015;4.32;24.97;35.78;30.28;70;1.036;78;1.25;All Grain;N/A;N/A;N/A;N/A;2402
8492;132;6;1.093;1.027;8.7;66.86;38.15;10;70;1.056;72;2.5;All Grain;1;22;N/A;N/A;
8493;166;16;1.076;1.02;7.43;9.78;35.69;19;60;1.064;70;2.5;All Grain;N/A;21;N/A;N/A;28117
8494;170;50;1.052;1.011;5.28;11.67;4.69;60;90;1.043;75;N/A;All Grain;N/A;18;Sukkerlake;7-8 g sukker/l;18325
8495;94;18.93;1.048;1.012;4.75;22.19;4.26;24.61;60;1.037;70;1.5;All Grain;0.75;N/A;yeast nutrient;.5 tsp;
8496;7;25;1.063;1.012;6.7;67.55;37.83;25;60;1.063;80;3;All Grain;N/A;20;N/A;N/A;
8497;175;45.42;1.055;1.014;5.37;23.47;6.57;54.89;90;1.046;70;N/A;All Grain;0.5;21.11;N/A;N/A;
8498;10;24.61;1.056;1.01;5.95;43.68;9.22;32.18;90;1.043;79;1.5;All Grain;0.5;20;N/A;N/A;19498
8499;5;18.93;1.117;1.027;11.72;107.25;13.2;28.39;60;1.078;70;1.5;All Grain;0.35;21.11;N/A;N/A;22182
8500;6;20.82;1.048;1.009;5.11;0;23.15;24.61;60;N/A;63;N/A;All Grain;N/A;N/A;N/A;N/A;
8501;10;22.5;1.05;1.01;5.23;52.41;5.81;30.5;75;1.037;68;N/A;BIAB;N/A;20;N/A;N/A;21774
8502;162;20.82;1.058;1.019;5.15;37.77;50;28.39;90;1.043;75;N/A;BIAB;N/A;20;N/A;N/A;
8503;7;25;1.077;1.017;7.89;71.2;4.63;28;60;1.069;65;N/A;BIAB;1.25;18;N/A;N/A;
8504;160;20.82;1.073;1.015;7.53;13.66;17.71;22.71;60;1.067;70;1.25;All Grain;1;20;N/A;N/A;16332
8505;7;45;1.064;1.014;6.53;37.57;7.04;56;60;1.051;65;2.6;All Grain;1;21;N/A;N/A;25019
8506;10;80;1.046;1.01;4.67;27.95;5.85;92;90;1.04;67;2.8;All Grain;1;19;N/A;N/A;
8507;63;20.82;1.091;1.027;8.52;58.17;14.62;11.36;60;N/A;71;N/A;extract;N/A;N/A;Cane Sugar;4.0 oz;
8508;108;40;13.0698;3.37703;5.21;45.67;18.62;48;90;11;95;4;All Grain;N/A;N/A;N/A;N/A;
8509;7;20.82;1.062;1.017;5.84;57.79;10.5;26.5;60;1.049;65;1.5;All Grain;N/A;20;N/A;N/A;
8510;30;26.5;1.052;1.011;5.3;25.72;8.16;28.39;60;1.048;70;1.25;All Grain;N/A;21.11;N/A;N/A;8773
8511;85;18.93;1.083;1.023;7.87;44.38;16.49;11.36;60;1.139;35;N/A;extract;0.35;21.11;N/A;N/A;
8512;111;18.93;1.047;1.012;4.65;0;2.32;7.57;60;N/A;75;N/A;Partial Mash;N/A;N/A;N/A;N/A;
8513;20;22;1.071;1.027;5.79;14.64;4.34;20;60;1.078;35;N/A;extract;N/A;19;N/A;N/A;28509
8514;14;22.71;1.053;1.01;5.58;43.36;4.84;26.99;45;1.044;78;N/A;BIAB;0.75;20;N/A;N/A;
8515;7;20.82;1.061;1.018;5.57;57.81;3.85;24.61;60;1.051;80;N/A;BIAB;N/A;N/A;N/A;N/A;47960
8516;92;20.82;1.051;1.012;5.18;27.55;13.75;22.71;60;N/A;50;N/A;All Grain;N/A;20;N/A;N/A;
8517;23;41.64;1.101;1.023;10.26;26.85;5.66;49.21;60;1.086;90;1.25;All Grain;N/A;18.33;N/A;N/A;
8518;67;20.82;1.21;1.05;20.99;0;50;26.5;60;1.075;70;1.5;All Grain;1;18.33;Dextrose;N/A;51749
8519;86;19.87;1.075;1.014;7.96;130.66;11.86;11.36;60;1.131;35;N/A;Partial Mash;N/A;N/A;N/A;N/A;
8520;92;60.57;1.059;1.017;5.59;25.59;15;66.24;60;1.054;70;1.25;All Grain;N/A;18.33;N/A;N/A;
8521;5;14.2;1.126;1.016;14.44;95.54;17.5;21.77;60;1.066;41;1.4;All Grain;1.25;19.44;N/A;N/A;
8522;30;19.87;1.049;1.014;4.66;26.66;5.31;28.39;60;1.035;70;N/A;BIAB;0.35;18.33;N/A;N/A;20675
8523;162;18.93;1.068;1.017;6.68;0;49.55;18.93;60;N/A;75;N/A;All Grain;N/A;N/A;N/A;N/A;
8524;10;22.71;1.048;1.009;5.1;31.33;6.16;28.01;60;1.039;80;N/A;BIAB;N/A;18.89;N/A;N/A;56565
8525;10;18.93;1.054;1.013;5.35;44.98;8.15;25.55;60;1.04;72;1.5;All Grain;0.75;20;Corn Sugar; 4.2 oz.;58965
8526;10;24;1.052;1.015;4.91;30.18;5.15;11;60;1.113;35;N/A;extract;N/A;20;dextrose;7 oz;19200
8527;7;20.82;1.074;1.021;6.99;74.06;11.9;28.39;60;N/A;70;N/A;All Grain;0.35;18.33;N/A;N/A;13792
8528;132;37.85;1.098;1.028;9.13;75.89;40;49.21;60;1.075;70;N/A;All Grain;1.25;20;N/A;N/A;
8529;70;18;16.284;5.40823;5.95;48.93;50;21;60;14.1;55;3;All Grain;N/A;24;N/A;N/A;
8530;4;18.93;1.065;1.016;6.37;79.33;15.08;18.93;60;1.06;30;1.2;All Grain;0.5;20;N/A;N/A;1569
8531;29;18.93;1.069;1.021;6.21;29.19;13.46;22.71;60;1.049;72;N/A;All Grain;1.25;15.56;CO2;12psi;28874
8532;26;181.7;1.077;1.008;9.07;31.35;5.71;211.98;90;1.052;75;1.25;All Grain;0.5;22.78;N/A;N/A;52796
8533;7;7.57;1.062;1.015;6.21;44.22;6.61;9.46;20;1.049;60;1.5;All Grain;0.35;15.56;N/A;N/A;19540
8534;22;20.82;1.058;1.014;5.78;42.37;6.76;27.44;60;1.044;65;1.33;All Grain;0.75;19.44;N/A;N/A;46720
8535;7;20.82;1.086;1.022;8.33;94.98;4.73;28.39;60;1.063;75;1.25;All Grain;0.35;20;priming sugar;N/A;
8536;7;18.93;1.077;1.018;7.71;77.6;7.44;13.25;60;N/A;70;N/A;extract;N/A;N/A;N/A;N/A;
